Food	Cal	CalFat	Fat	SatFat	Chol	Sodium	Carbo	Protein	VitA	VitC	Calcium	Iron
1%_Low_Fat_Milk_Jug 1_carton_(236_ml)                     	100	20	2	1	10	125	12	8	10	4	30	0
Apple_Slices 1.2_oz_(34_g)                                	15	0	0	0	0	0	4	0	0	160	2	0
BBQ_Ranch_Burger 4.1_oz_(116_g)                           	350	140	16	6	45	680	37	16	4	0	20	15
Bacon,_Egg_&_Cheese_Bagel 7_oz_(199_g)                    	630	290	32	11	275	1490	57	30	20	15	20	20
Bacon,_Egg_&_Cheese_Bagel_with_Egg_Whites 7.2_oz_(203_g)  	580	230	26	9	60	1490	55	30	10	15	20	15
Bacon,_Egg_&_Cheese_Biscuit_(Large_Size_Biscuit) 5.8_oz_(164_g)	520	270	30	14	250	1410	43	19	15	8	20	20
Bacon,_Egg_&_Cheese_Biscuit_(Regular_Size_Biscuit) 5.3_oz_(150_g)	460	230	26	13	250	1300	38	19	10	8	15	15
Bacon,_Egg_&_Cheese_Biscuit_with_Egg_Whites_(Large_Biscuit) 5.9_oz_(167_g)	470	220	25	12	35	1420	42	20	6	8	15	15
Bacon,_Egg_&_Cheese_Biscuit_with_Egg_Whites_(RegularBiscuit) 5.4_oz_(153_g)	410	180	20	11	35	1300	36	20	2	8	15	10
Bacon,_Egg_&_Cheese_McGriddles 6.1_oz_(174_g)             	460	190	21	9	250	1250	48	19	10	10	20	15
Bacon,_Egg_&_Cheese_McGriddles_with_Egg_Whites 6.3_oz_(178_g)	400	140	15	7	35	1250	47	20	2	10	15	10
Bacon_Buffalo_Ranch_McChicken 5.6_oz_(159_g)              	420	180	20	4	50	1250	41	20	2	10	15	15
Bacon_Cheddar_McChicken 6_oz_(171_g)                      	480	220	24	7	65	1260	43	22	4	10	20	15
Bacon_McDouble 5.8_oz_(165_g)                             	460	210	24	10	85	1120	34	28	6	10	20	20
Baked_Hot_Apple_Pie 2.7_oz_(77_g)                         	250	110	13	7	0	170	32	2	4	25	2	6
Big_Breakfast_(Large_Size_Biscuit) 10_oz_(283_g)          	800	470	52	18	555	1680	56	28	15	2	15	30
Big_Breakfast_(Regular_Size_Biscuit) 9.5_oz_(269_g)       	740	430	48	17	555	1560	51	28	15	2	15	25
Big_Breakfast_with_Egg_Whites_(Large_Size_Biscuit) 10.1_oz_(286_g)	690	370	41	14	35	1700	55	26	4	2	10	15
Big_Breakfast_with_Egg_Whites_(Regular_Size_Biscuit) 9.6_oz_(272_g)	640	330	37	14	35	1590	50	26	0	2	10	15
Big_Breakfast_with_Hotcakes_(Large_Size_Biscuit) 15.3_oz_(434_g)	1150	540	60	20	575	2260	116	36	15	2	30	40
Big_Breakfast_with_Hotcakes_(Regular_Size_Biscuit) 14.8_oz_(420_g)	1090	510	56	19	575	2150	111	36	15	2	25	40
Big_Breakfast_with_Hotcakes_and_Egg_Whites_(Large_Biscuit) 15.4_oz_(437_g)	1050	450	50	16	55	2290	115	35	4	2	25	30
Big_Breakfast_with_Hotcakes_and_Egg_Whites_(Regular_Biscuit) 14.9_oz_(423_g)	990	410	46	16	55	2170	110	35	0	2	25	30
Big_Mac 7.6_oz_(215_g)                                    	550	260	29	10	75	970	46	25	4	2	25	25
Blueberry_Pomegranate_Smoothie_(Large) 22_fl_oz_cup       	340	10	1	0	5	65	79	4	0	4	10	2
Blueberry_Pomegranate_Smoothie_(Medium) 16_fl_oz_cup      	260	5	1	0	5	50	62	3	0	4	8	2
Blueberry_Pomegranate_Smoothie_(Small) 12_fl_oz_cup       	220	5	0	0	5	40	50	2	0	2	6	2
Buffalo_Ranch_McChicken 5.1_oz_(145_g)                    	350	130	15	3	35	980	40	14	2	2	15	15
Caramel_Latte_(Large) 20_fl_oz_cup                        	430	120	14	8	40	180	62	15	15	0	50	2
Caramel_Latte_(Medium) 16_fl_oz_cup                       	340	90	10	6	30	140	50	11	10	0	35	0
Caramel_Latte_(Small) 12_fl_oz_cup                        	270	80	9	5	25	115	40	9	8	0	30	0
Caramel_Mocha_(Large) 20_fl_oz_cup                        	480	150	17	10	50	270	66	16	15	0	50	4
Caramel_Mocha_(Medium) 16_fl_oz_cup                       	390	120	14	8	40	220	55	12	15	0	40	2
Caramel_Mocha_(Small) 12_fl_oz_cup                        	320	100	11	7	35	170	45	10	10	0	30	2
Cheeseburger 4_oz_(114_g)                                 	300	110	12	6	40	680	33	15	6	2	20	15
Chicken_McNuggets_(10_piece) 5.7_oz_(162_g)               	470	270	30	5	65	900	30	22	0	4	2	6
Chicken_McNuggets_(20_piece) 11.4_oz_(323_g)              	940	530	59	10	135	1800	59	44	0	8	4	10
Chicken_McNuggets_(40_piece) 22.8_oz_(646_g)              	1880	1060	118	20	265	3600	118	87	0	15	8	25
Chicken_McNuggets_(4_piece) 2.3_oz_(65_g)                 	190	110	12	2	25	360	12	9	0	2	0	2
Chicken_McNuggets_(6_piece) 3.4_oz_(97_g)                 	280	160	18	3	40	540	18	13	0	2	2	4
Chicken_Selects_Premium_Breast_Strips_(5_pc) 7.3_oz_(206_g)	640	340	38	6	90	1240	36	38	0	6	4	6
Chipotle_BBQ_Snack_Wrap_(Crispy) 4.4_oz_(124_g)           	330	130	15	4	30	750	34	14	4	0	10	10
Chipotle_BBQ_Snack_Wrap_(Grilled) 4.1_oz_(117_g)          	250	70	8	3	40	670	27	16	4	2	10	10
Chocolate_Chip_Cookie 1_cookie_(33_g)                     	160	70	8	3	10	90	21	2	2	0	2	8
Chocolate_McCafe_Shake_(12_fl_oz_cup) 12_fl_oz            	560	150	16	10	60	240	91	12	20	0	40	8
Chocolate_McCafe_Shake_(16_fl_oz_cup) 16_fl_oz            	700	180	20	12	75	300	114	15	25	0	50	10
Chocolate_McCafe_Shake_(22_fl_oz_cup) 22_fl_oz            	850	210	23	15	85	380	141	19	30	0	60	15
Cinnamon_Melts 4_oz_(114_g)                               	460	170	19	9	15	370	66	6	4	0	6	15
Coca-Cola_Classic_(Child) 12_fl_oz_cup                    	100	0	0	0	0	0	28	0	0	0	0	0
Coca-Cola_Classic_(Large) 30_fl_oz_cup                    	280	0	0	0	0	5	76	0	0	0	0	0
Coca-Cola_Classic_(Medium) 21_fl_oz_cup                   	200	0	0	0	0	5	55	0	0	0	0	0
Coca-Cola_Classic_(Small) 16_fl_oz_cup                    	140	0	0	0	0	0	39	0	0	0	0	0
Coffee_(Large) 16_fl_oz_cup                               	0	0	0	0	0	0	0	0	0	0	0	0
Coffee_(Medium) 16_fl_oz_cup                              	0	0	0	0	0	0	0	0	0	0	0	0
Coffee_(Small) 12_fl_oz_cup                               	0	0	0	0	0	0	0	0	0	0	0	0
Coffee_Cream 0.4_fl_oz_(11_ml)                            	20	20	2	1	10	15	0	0	2	0	2	0
Creamy_Ranch_Sauce 0.8_oz_(22_g)                          	110	110	12	2	5	170	1	0	0	0	0	0
Daily_Double 6.8_oz_(194_g)                               	440	220	24	9	70	770	33	23	6	6	20	20
Dasani_Water 16.9_fl_oz                                   	0	0	0	0	0	0	0	0	0	0	0	0
Diet_Coke_(Child) 12_fl_oz_cup                            	0	0	0	0	0	15	0	0	0	0	0	0
Diet_Coke_(Large) 30_fl_oz_cup                            	0	0	0	0	0	35	0	0	0	0	0	0
Diet_Coke_(Medium) 21_fl_oz_cup                           	0	0	0	0	0	20	0	0	0	0	0	0
Diet_Coke_(Small) 16_fl_oz_cup                            	0	0	0	0	0	10	0	0	0	0	0	0
Diet_Dr_Pepper_(Child) 12_fl_oz_cup                       	0	0	0	0	0	50	0	1	0	0	0	0
Diet_Dr_Pepper_(Large) 30_fl_oz_cup                       	0	0	0	0	0	140	0	4	0	0	0	0
Diet_Dr_Pepper_(Medium) 21_fl_oz_cup_(513_g)              	0	0	0	0	0	100	0	3	0	0	0	0
Diet_Dr_Pepper_(Small) 16_fl_oz_cup                       	0	0	0	0	0	70	0	2	0	0	0	0
Double_Cheeseburger 5.8_oz_(165_g)                        	440	210	23	11	80	1050	34	25	8	2	30	20
Double_Quarter_Pounder_with_Cheese++ 10_oz_(283_g)        	750	380	43	19	160	1280	42	48	10	2	30	35
Dr_Pepper_(Child) 12_fl_oz_cup                            	100	0	0	0	0	30	27	0	0	0	0	0
Dr_Pepper_(Large) 30_fl_oz_cup                            	270	0	0	0	0	90	72	0	0	0	0	0
Dr_Pepper_(Medium) 21_fl_oz_cup                           	190	0	0	0	0	65	53	0	0	0	0	0
Dr_Pepper_(Small) 16_fl_oz_cup                            	140	0	0	0	0	45	37	0	0	0	0	0
EQUAL_0_Calorie_Sweetener 1_pkg_(1.0_g)                   	0	0	0	0	0	0	1	0	0	0	0	0
Egg_McMuffin 4.8_oz_(135_g)                               	290	110	12	5	260	740	31	17	10	0	25	15
Egg_Nog_McCafe_Shake_(16_fl_oz_cup)_Medium 14.7_oz_(418_g)	680	170	19	12	75	220	111	14	25	0	50	0
Egg_Nog_McCafe_Shake_(22_fl_oz_cup)_Large 18.2_oz_(516_g) 	830	210	23	15	90	270	137	18	30	0	70	0
Egg_White_Delight 4.7_oz_(134_g)                          	250	60	7	3	25	770	30	18	4	0	25	8
Fat_Free_Chocolate_Milk_Jug 1_carton_(236_ml)             	130	0	0	0	5	135	23	9	10	0	30	8
Filet-O-Fish 5_oz_(142_g)                                 	390	170	19	4	40	590	39	15	2	0	15	10
Frappe_Caramel_(Large) 22_fl_oz_cup                       	670	250	27	17	95	190	96	11	20	0	35	2
Frappe_Caramel_(Medium) 16_fl_oz_cup                      	550	200	23	15	80	160	79	9	20	0	30	2
Frappe_Caramel_(Small) 12_fl_oz_cup                       	450	170	19	12	65	125	64	7	15	0	25	2
Frappe_Chocolate_Chip_(Large) 22_fl_oz_cup                	760	280	31	20	95	200	111	12	20	0	35	6
Frappe_Chocolate_Chip_(Medium) 16_fl_oz_cup               	630	240	26	17	80	160	91	9	15	0	30	4
Frappe_Chocolate_Chip_(Small) 12_fl_oz_cup                	530	200	23	14	65	135	76	8	15	0	25	4
Frappe_Chocolate_Covered_Strawberry_(Small) 12_fl_oz_cup  	570	200	22	14	65	130	88	8	15	0	20	6
Frappe_Mocha_(Large) 22_fl_oz_cup                         	670	240	26	17	90	190	98	11	20	0	35	4
Frappe_Mocha_(Medium) 16_fl_oz_cup                        	550	200	22	14	75	160	80	9	15	0	25	4
Frappe_Mocha_(Small) 12_fl_oz_cup                         	450	160	18	12	65	125	65	7	15	0	20	4
French_Vanilla_Latte_(Large) 20_fl_oz_cup                 	420	120	14	8	40	190	60	15	15	0	50	2
French_Vanilla_Latte_(Medium) 16_fl_oz_cup                	330	90	10	6	30	140	48	11	10	0	35	2
French_Vanilla_Latte_(Small) 12_fl_oz_cup                 	260	80	9	5	25	115	38	9	8	0	30	0
Fruit_&_Maple_Oatmeal_ 9.6_oz_(251_g)                     	290	35	4	1	5	160	58	5	2	130	10	10
Fruit_&_Maple_Oatmeal_without_Brown_Sugar 9.6_oz_(251_g)  	260	40	4	1	5	115	49	5	2	130	6	10
Fruit_'n_Yogurt_Parfait 5.2_oz_(149_g)                    	150	20	2	1	5	70	30	4	2	15	10	4
Grape_Jam 0.5_oz_(14_g)                                   	35	0	0	0	0	0	9	0	0	2	0	0
Grilled_Onion_Cheddar 4.1_oz_(115_g)                      	310	120	13	6	40	660	33	15	2	0	20	15
Hamburger 3.5_oz_(100_g)                                  	250	80	9	3	25	480	31	12	2	2	10	15
Hash_Brown 2_oz_(56_g)                                    	150	80	9	1	0	310	15	1	0	2	0	2
Hazelnut_Latte_(Large) 20_fl_oz_cup                       	430	120	14	8	40	180	62	15	15	0	50	2
Hazelnut_Latte_(Medium) 16_fl_oz_cup                      	330	90	10	6	30	140	50	11	10	0	35	0
Hazelnut_Latte_(Small) 12_fl_oz_cup                       	270	80	9	5	25	115	40	9	8	0	30	0
Hi-C_Orange_Lavaburst_(Child) 12_fl_oz_cup                	110	0	0	0	0	0	31	0	0	150	0	0
Hi-C_Orange_Lavaburst_(Large) 30_fl_oz_cup                	310	0	0	0	0	0	84	0	0	410	0	0
Hi-C_Orange_Lavaburst_(Medium) 21_fl_oz_cup               	230	0	0	0	0	0	61	0	0	290	0	0
Hi-C_Orange_Lavaburst_(Small) 16_fl_oz_cup                	160	0	0	0	0	0	43	0	0	210	0	0
Honey 1_pkg_(14_g)                                        	50	0	0	0	0	0	12	0	0	0	0	0
Honey_Mustard_Sauce 0.8_oz_(22_g)                         	60	35	4	0	5	115	6	0	0	0	0	0
Honey_Mustard_Snack_Wrap_(Crispy) 4.3_oz_(123_g)          	330	130	15	4	35	730	34	14	2	0	10	10
Honey_Mustard_Snack_Wrap_(Grilled) 4.1_oz_(116_g)         	250	70	8	3	45	650	27	16	2	2	10	10
Hot_Caramel_Sundae 6.4_oz_(182_g)                         	340	70	8	5	30	150	60	7	10	0	25	0
Hot_Chocolate_(Large) 20_fl_oz_cup                        	540	180	20	12	60	280	73	17	20	0	60	8
Hot_Chocolate_(Medium) 16_fl_oz_cup                       	440	140	16	9	50	220	61	14	15	0	45	6
Hot_Chocolate_(Small) 12_fl_oz_cup                        	360	120	13	8	40	180	50	11	10	0	40	6
Hot_Chocolate_with_Nonfat_Milk_(Large) 20_fl_oz_cup       	400	35	3	2	20	280	74	19	25	0	60	8
Hot_Chocolate_with_Nonfat_Milk_(Medium) 16_fl_oz_cup      	340	30	3	2	15	220	61	14	20	0	50	6
Hot_Chocolate_with_Nonfat_Milk_(Small) 12_fl_oz_cup       	280	30	3	2	15	180	50	12	15	0	40	6
Hot_Fudge_Sundae 6.3_oz_(179_g)                           	330	80	9	7	25	170	53	8	8	0	25	8
Hot_Habanero_Sauce 22_oz_(0.8_g)                          	80	60	7	1	10	180	5	1	0	0	2	2
Hotcake_Syrup 1_pkg_(60_g)                                	180	0	0	0	0	20	45	0	0	0	0	0
Hotcakes 5.3_oz_(151_g)                                   	350	80	9	2	20	590	60	8	0	0	15	15
Hotcakes_and_Sausage 6.8_oz_(192_g)                       	520	210	24	7	50	930	61	15	0	0	15	15
Iced_Caramel_Mocha_(Large) 22_fl_oz_cup                   	460	150	16	10	50	250	65	13	15	0	40	4
Iced_Caramel_Mocha_(Medium) 16_fl_oz_cup                  	340	110	13	7	40	170	46	9	10	0	30	2
Iced_Caramel_Mocha_(Small) 12_fl_oz_cup                   	280	100	11	7	35	140	38	8	10	0	25	2
Iced_Coffee-Caramel_(Large) 32_fl_oz_cup                  	260	80	9	6	35	65	43	2	6	0	6	0
Iced_Coffee-Caramel_(Medium) 22_fl_oz_cup                 	180	60	7	4	25	50	29	1	4	0	4	0
Iced_Coffee-Caramel_(Small) 16_fl_oz_cup                  	130	40	4	3	15	35	22	1	4	0	4	0
Iced_Coffee-French_Vanilla_(Large) 32_fl_oz_cup           	240	80	9	6	35	80	41	2	6	0	8	0
Iced_Coffee-French_Vanilla_(Medium) 22_fl_oz_cup          	170	60	7	4	25	55	27	1	4	0	4	0
Iced_Coffee-French_Vanilla_(Small) 16_fl_oz_cup           	120	40	4	3	15	40	20	1	4	0	4	0
Iced_Coffee-Hazelnut_(Large) 32_fl_oz_cup                 	250	80	9	6	35	75	43	2	6	0	8	0
Iced_Coffee-Hazelnut_(Medium) 22_fl_oz_cup                	180	60	7	4	25	50	29	1	4	0	4	0
Iced_Coffee-Hazelnut_(Small) 16_fl_oz_cup                 	130	40	4	3	15	35	21	1	4	0	4	0
Iced_Coffee-Regular_(Large) 32_fl_oz_cup                  	270	80	9	6	35	75	47	2	6	0	8	0
Iced_Coffee-Regular_(Medium) 22_fl_oz_cup                 	190	60	7	4	25	50	31	1	4	0	4	0
Iced_Coffee-Regular_(Small) 16_fl_oz_cup                  	140	40	4	3	15	35	23	1	4	0	4	0
Iced_Coffee_with_Sugar_Free_French_Vanilla_Syrup_(Large) 32_fl_oz_cup	160	80	9	6	35	135	18	2	6	0	8	0
Iced_Coffee_with_Sugar_Free_French_Vanilla_Syrup_(Medium) 22_fl_oz_cup	120	60	7	4	25	90	12	1	4	0	4	0
Iced_Coffee_with_Sugar_Free_French_Vanilla_Syrup_(Small) 16_fl_oz_cup	80	40	4	3	15	65	9	1	4	0	4	0
Iced_Mocha_(Large) 22_fl_oz_cup                           	480	150	16	10	50	220	70	14	15	0	40	8
Iced_Mocha_(Medium) 16_fl_oz_cup                          	350	110	13	8	40	150	50	9	10	0	30	6
Iced_Mocha_(Small) 12_fl_oz_cup                           	290	100	11	7	35	125	41	8	10	0	25	4
Iced_Mocha_with_Nonfat_Milk_(Large) 22_fl_oz_cup          	390	50	6	3	25	220	71	14	20	0	45	8
Iced_Mocha_with_Nonfat_Milk_(Medium) 16_fl_oz_cup         	290	45	5	3	20	150	50	10	15	0	30	6
Iced_Mocha_with_Nonfat_Milk_(Small) 12_fl_oz_cup          	240	45	5	3	20	125	41	8	10	0	25	4
Iced_Nonfat_Caramel_Mocha_(Large) 22_fl_oz_cup            	370	50	6	3	25	250	65	14	20	0	45	4
Iced_Nonfat_Caramel_Mocha_(Medium) 16_fl_oz_cup           	270	45	5	3	20	170	47	10	15	0	30	2
Iced_Nonfat_Caramel_Mocha_(Small) 12_fl_oz_cup            	230	45	5	3	20	140	38	8	10	0	25	2
Iced_Tea_(Child) 12_fl_oz_cup                             	0	0	0	0	0	5	0	0	0	0	0	0
Iced_Tea_(Large) 30_fl_oz_cup                             	0	0	0	0	0	15	0	0	0	0	0	0
Iced_Tea_(Medium) 21_fl_oz                                	0	0	0	0	0	10	0	0	0	0	0	0
Iced_Tea_(Small) 16_fl_oz_cup                             	0	0	0	0	0	10	0	0	0	0	0	0
Ketchup_Packet 1_pkg_(10_g)                               	10	0	0	0	0	100	3	0	2	2	0	0
Kiddie_Cone 1_oz_(29_g)                                   	45	10	1	1	5	20	7	1	2	0	4	0
Kids_Fries 1.1_oz_(31_g)                                  	100	45	5	0	0	70	13	1	0	4	0	2
Large_French_Fries 5.4_oz_(154_g)                         	500	220	25	3	0	350	63	6	0	20	2	8
Latte_(Large) 20_fl_oz_cup                                	280	120	14	8	40	180	24	15	15	0	50	2
Latte_(Medium) 16_fl_oz_cup                               	210	90	10	6	30	140	18	11	10	0	35	0
Latte_(Small)_ 12_fl_oz_cup                               	170	80	9	5	25	115	15	9	8	0	30	0
Latte_with_Sugar_Free_French_Vanilla_Syrup_(Large) 20_fl_oz_cup	330	120	14	8	40	240	37	15	15	0	50	2
Latte_with_Sugar_Free_French_Vanilla_Syrup_(Medium) 16_fl_oz_cup	260	90	10	6	30	190	29	12	10	0	35	0
Latte_with_Sugar_Free_French_Vanilla_Syrup_(Small) 12_fl_oz_cup	210	80	9	5	25	150	24	9	8	0	30	0
Mac_Snack_Wrap 4.4_oz_(125_g)                             	330	170	19	7	45	670	26	14	2	0	8	15
Mango_Pineapple_Smoothie_(Large) 22_fl_oz_cup             	340	15	1	1	5	70	78	5	50	45	10	2
Mango_Pineapple_Smoothie_(Medium) 16_fl_oz_cup            	270	10	1	1	5	55	61	3	45	35	8	2
Mango_Pineapple_Smoothie_(Small) 12_fl_oz_cup             	220	10	1	0	5	45	49	3	35	30	8	2
McCafe_Caramel_Hot_Chocolate_with_Nonfat_Milk_(Large) 20_fl_oz_cup	380	35	3	2	20	300	68	18	25	0	60	4
McCafe_Caramel_Hot_Chocolate_with_Nonfat_Milk_(Medium) 16_fl_oz_cup	310	30	3	2	20	240	57	14	20	0	50	2
McCafe_Caramel_Hot_Chocolate_with_Nonfat_Milk_(Small) 12_fl_oz_cup	260	30	3	2	15	200	46	11	15	0	40	2
McChicken_ 5.1_oz_(143_g)                                 	360	140	16	3	35	800	40	14	0	2	10	15
McDouble 5.3_oz_(151_g)                                   	390	170	19	8	65	850	33	23	6	2	20	20
